"Região/UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"Região Norte";16723;16785;12801;8096;5920;5204;3759;3567;2855;3349;7396;11220;97675
"Rondônia";9917;5457;1876;850;359;194;97;85;77;174;705;1643;21434
"Acre";3961;7689;6095;2900;1385;863;796;428;619;1041;3025;5514;34316
"Amazonas";540;372;370;325;428;633;762;596;404;456;1038;1545;7469
"Roraima";138;409;625;900;1265;1876;870;665;314;98;85;127;7372
"Pará";659;959;1791;1256;1148;955;813;1208;1031;1196;1975;1841;14832
"Amapá";179;366;209;201;288;243;291;480;357;327;202;101;3244
"Tocantins";1329;1533;1835;1664;1047;440;130;105;53;57;366;449;9008
"Região Nordeste";4776;8633;20109;22379;28725;24101;19074;12969;7942;6392;7051;7447;169598
"Maranhão";126;157;277;306;418;459;635;1375;833;444;320;206;5556
"Piauí";251;554;789;946;1084;972;810;551;410;197;227;278;7069
"Ceará";836;1394;1804;1480;2202;1931;1710;1446;1387;1776;2221;2801;20988
"Rio Grande do Norte";102;107;198;310;595;914;1263;968;660;647;618;584;6966
"Paraíba";100;227;406;433;856;950;987;623;504;405;384;286;6161
"Pernambuco";380;1166;2520;2985;6607;7226;5889;3296;1179;614;612;530;33004
"Alagoas";499;1587;7083;8460;8041;6645;4950;3092;1914;1363;1024;511;45169
"Sergipe";7;6;23;45;84;54;61;84;52;55;62;55;588
"Bahia";2475;3435;7009;7414;8838;4950;2769;1534;1003;891;1583;2196;44097
"Região Sudeste";28217;68044;125533;122312;75407;16449;6276;3788;2259;1830;3495;7196;460806
"Minas Gerais";14633;28892;55244;62145;37699;6179;1636;635;501;426;863;2187;211040
"Espírito Santo";693;1081;2931;4098;4899;2740;1621;1238;674;619;1156;1590;23340
"Rio de Janeiro";1286;1787;2980;4784;5971;2933;1773;1316;661;415;925;1860;26691
"São Paulo";11605;36284;64378;51285;26838;4597;1246;599;423;370;551;1559;199735
"Região Sul";815;4542;13460;13735;5995;850;248;121;160;192;338;1183;41639
"Paraná";740;3762;11346;13095;5911;829;235;105;152;186;328;1166;37855
"Santa Catarina";35;44;26;36;15;5;2;2;1;3;5;8;182
"Rio Grande do Sul";40;736;2088;604;69;16;11;14;7;3;5;9;3602
"Região Centro-Oeste";53328;50141;43276;27682;15270;4390;2097;1802;2228;2722;3888;8946;215770
"Mato Grosso do Sul";11505;16992;17358;10032;3640;673;328;205;240;246;457;1180;62856
"Mato Grosso";14686;8578;5128;2254;963;508;353;252;295;298;753;2511;36579
"Goiás";26114;21991;17040;11869;7562;2449;1191;1224;1612;2101;2613;5098;100864
"Distrito Federal";1023;2580;3750;3527;3105;760;225;121;81;77;65;157;15471
"Total";103859;148145;215179;194204;131317;50994;31454;22247;15444;14485;22168;35992;985488
