codigo,bairro
1,RECIFE
2,SANTO ANTONIO
3,SAO JOSE
4,ILHA JOANA BEZERRA
5,CABANGA
6,COELHOS
7,ILHA DO LEITE
8,BOA VISTA
9,PAISSANDU
10,SANTO AMARO
11,SOLEDADE
12,ESPINHEIRO
13,AFLITOS
14,DERBY
15,JAQUEIRA
16,GRACAS
17,ENCRUZILHADA
18,ROSARINHO
19,TAMARINEIRA
20,BOA VIAGEM
21,IPSEP
22,JORDAO
23,IBURA
24,PINA
25,BRASILIA TEIMOSA
26,IMBIRIBEIRA
27,TORREAO
28,CAMPO GRANDE
29,PEIXINHOS
30,HIPODROMO
31,CAMPINA DO BARRETO
32,ARRUDA
33,AGUA FRIA
34,FUNDAO
35,CAJUEIRO
36,PORTO DA MADEIRA
37,BEBERIBE
38,LINHA DO TIRO
39,DOIS UNIDOS
40,PASSARINHO
41,GUABIRABA
42,BOMBA DO HEMETERIO
43,CASA AMARELA
44,CASA FORTE
45,SANTANA
46,PARNAMIRIM
47,POCO
48,MONTEIRO
49,ALTO DO MANDU
50,APIPUCOS
51,MANGABEIRA
52,ALTO JOSE DO PINHO
53,MORRO DA CONCEICAO
54,ALTO JOSE BONIFACIO
55,VASCO DA GAMA
56,NOVA DESCOBERTA
57,BREJO DE BEBERIBE
58,MACAXEIRA
59,DOIS IRMAOS
60,SITIO DOS PINTOS
61,BREJO DA GUABIRABA
62,CORREGO DO JENIPAPO
63,PAU FERRO
64,MADALENA
65,TORRE
66,PRADO
67,ZUMBI
68,CORDEIRO
69,IPUTINGA
70,TORROES
71,ENGENHO DO MEIO
72,CIDADE UNIVERSITARIA
73,VARZEA
74,CAXANGA
75,CURADO
76,ILHA DO RETIRO
77,AFOGADOS
78,MUSTARDINHA
79,MANGUEIRA
80,BONGI
81,SAN MARTIN
82,JIQUIA
83,ESTANCIA
84,CACOTE
85,AREIAS
86,JARDIM SAO PAULO
87,BARRO
88,COHAB
89,TEJIPIO
90,SANCHO
91,TOTO
92,COQUEIRAL
93,PONTO DE PARADA
94,ALTO SANTA TEREZINHA
