,no_bairro_residencia,co_bairro_residencia,casos,co_uf_notificacao
0,RECIFE,1,0,2014
1,SANTO ANTONIO,2,2,2014
2,SAO JOSE,3,5,2014
3,ILHA JOANA BEZERRA,4,7,2014
4,CABANGA,5,0,2014
5,COELHOS,6,6,2014
6,ILHA DO LEITE,7,0,2014
7,BOA VISTA,8,17,2014
8,PAISSANDU,9,1,2014
9,SANTO AMARO,10,11,2014
10,SOLEDADE,11,1,2014
11,ESPINHEIRO,12,13,2014
12,AFLITOS,13,7,2014
13,DERBY,14,1,2014
14,JAQUEIRA,15,2,2014
15,GRACAS,16,9,2014
16,ENCRUZILHADA,17,21,2014
17,ROSARINHO,18,8,2014
18,TAMARINEIRA,19,8,2014
19,BOA VIAGEM,20,53,2014
20,IPSEP,21,21,2014
21,JORDAO,22,24,2014
22,IBURA,23,79,2014
23,PINA,24,16,2014
24,BRASILIA TEIMOSA,25,8,2014
25,IMBIRIBEIRA,26,32,2014
26,TORREAO,27,1,2014
27,CAMPO GRANDE,28,26,2014
28,PEIXINHOS,29,1,2014
29,HIPODROMO,30,1,2014
30,CAMPINA DO BARRETO,31,23,2014
31,ARRUDA,32,17,2014
32,AGUA FRIA,33,27,2014
33,FUNDAO,34,4,2014
34,CAJUEIRO,35,9,2014
35,PORTO DA MADEIRA,36,2,2014
36,BEBERIBE,37,17,2014
37,LINHA DO TIRO,38,12,2014
38,DOIS UNIDOS,39,33,2014
39,PASSARINHO,40,7,2014
40,GUABIRABA,41,9,2014
41,BOMBA DO HEMETERIO,42,4,2014
42,CASA AMARELA,43,50,2014
43,CASA FORTE,44,9,2014
44,SANTANA,45,4,2014
45,PARNAMIRIM,46,5,2014
46,POCO,47,2,2014
47,MONTEIRO,48,0,2014
48,ALTO DO MANDU,49,5,2014
49,APIPUCOS,50,3,2014
50,MANGABEIRA,51,8,2014
51,ALTO JOSE DO PINHO,52,10,2014
52,MORRO DA CONCEICAO,53,4,2014
53,ALTO JOSE BONIFACIO,54,9,2014
54,VASCO DA GAMA,55,29,2014
55,NOVA DESCOBERTA,56,43,2014
56,BREJO DE BEBERIBE,57,13,2014
57,MACAXEIRA,58,24,2014
58,DOIS IRMAOS,59,11,2014
59,SITIO DOS PINTOS,60,4,2014
60,BREJO DA GUABIRABA,61,5,2014
61,CORREGO DO JENIPAPO,62,5,2014
62,PAU FERRO,63,0,2014
63,MADALENA,64,27,2014
64,TORRE,65,15,2014
65,PRADO,66,5,2014
66,ZUMBI,67,4,2014
67,CORDEIRO,68,23,2014
68,IPUTINGA,69,37,2014
69,TORROES,70,26,2014
70,ENGENHO DO MEIO,71,9,2014
71,CIDADE UNIVERSITARIA,72,1,2014
72,VARZEA,73,36,2014
73,CAXANGA,74,7,2014
74,CURADO,75,4,2014
75,ILHA DO RETIRO,76,3,2014
76,AFOGADOS,77,8,2014
77,MUSTARDINHA,78,8,2014
78,MANGUEIRA,79,4,2014
79,BONGI,80,3,2014
80,SAN MARTIN,81,18,2014
81,JIQUIA,82,12,2014
82,ESTANCIA,83,3,2014
83,CACOTE,84,0,2014
84,AREIAS,85,17,2014
85,JARDIM SAO PAULO,86,29,2014
86,BARRO,87,12,2014
87,COHAB,88,59,2014
88,TEJIPIO,89,16,2014
89,SANCHO,90,7,2014
90,TOTO,91,2,2014
91,COQUEIRAL,92,4,2014
92,PONTO DE PARADA,93,3,2014
93,ALTO SANTA TEREZINHA,94,2,2014
