,no_bairro_residencia,co_bairro_residencia,casos,co_uf_notificacao,latitude,longitude
0,RECIFE,1,81,2015,-8.053206,-34.87075
1,SANTO ANTONIO,2,8,2015,-8.064813000000001,-34.880369
2,SAO JOSE,3,221,2015,-8.07165,-34.88413
3,ILHA JOANA BEZERRA,4,460,2015,-8.070504,-34.896815000000004
4,CABANGA,5,31,2015,-8.079618,-34.89416
5,COELHOS,6,281,2015,-8.067982,-34.889387
6,ILHA DO LEITE,7,19,2015,-8.065111,-34.894812
7,BOA VISTA,8,215,2015,-8.055406,-34.89516
8,PAISSANDU,9,15,2015,-8.06361,-34.898990000000005
9,SANTO AMARO,10,769,2015,-8.045555,-34.878511
10,SOLEDADE,11,21,2015,-8.056275,-34.890705
11,ESPINHEIRO,12,120,2015,-8.043146,-34.891331
12,AFLITOS,13,39,2015,-8.039793,-34.896185
13,DERBY,14,35,2015,-8.056205,-34.899669
14,JAQUEIRA,15,24,2015,-8.036313,-34.903717
15,GRACAS,16,126,2015,-8.045171,-34.902063
16,ENCRUZILHADA,17,222,2015,-8.037251,-34.891
17,ROSARINHO,18,97,2015,-8.033114999999999,-34.89751
18,TAMARINEIRA,19,234,2015,-8.029621,-34.90034
19,BOA VIAGEM,20,1026,2015,-8.131781,-34.902269
20,IPSEP,21,482,2015,-8.107398,-34.923199
21,JORDAO,22,605,2015,-8.135926,-34.935478
22,IBURA,23,1914,2015,-8.110188,-34.936605
23,PINA,24,626,2015,-8.094104,-34.885537
24,BRASILIA TEIMOSA,25,547,2015,-8.08347,-34.88036
25,IMBIRIBEIRA,26,1106,2015,-8.103817,-34.91067
26,TORREAO,27,30,2015,-8.039849,-34.88381
27,CAMPO GRANDE,28,1069,2015,-8.032156,-34.881355
28,PEIXINHOS,29,111,2015,-8.020226,-34.87741
29,HIPODROMO,30,38,2015,-8.032544999999999,-34.887917
30,CAMPINA DO BARRETO,31,546,2015,-8.016906,-34.882409
31,ARRUDA,32,475,2015,-8.025246000000001,-34.893499
32,AGUA FRIA,33,1039,2015,-8.014927,-34.896827
33,FUNDAO,34,190,2015,-8.014994,-34.890137
34,CAJUEIRO,35,218,2015,-8.011376,-34.885870000000004
35,PORTO DA MADEIRA,36,130,2015,-8.008517,-34.891378
36,BEBERIBE,37,254,2015,-8.004758,-34.896214
37,LINHA DO TIRO,38,321,2015,-8.008627,-34.904617
38,DOIS UNIDOS,39,683,2015,-8.00173,-34.914193
39,PASSARINHO,40,263,2015,-7.979706,-34.918388
40,GUABIRABA,41,221,2015,-7.951867999999997,-34.95952800000001
41,BOMBA DO HEMETERIO,42,294,2015,-8.021554,-34.900849
42,CASA AMARELA,43,750,2015,-8.026561000000001,-34.917834
