Codigo,Bairro,Semana,Ano,Latitude,Longitude
1,RECIFE,19,2013,-8.054056,-34.870922
2,SANTO ANTONIO,14,2013,-8.065004,-34.880369
2,SANTO ANTONIO,14,2013,-8.065004,-34.880369
2,SANTO ANTONIO,18,2013,-8.065004,-34.880369
2,SANTO ANTONIO,28,2013,-8.065004,-34.880369
3,SAO JOSE,1,2013,-8.072325,-34.884105
3,SAO JOSE,9,2013,-8.072325,-34.884105
3,SAO JOSE,11,2013,-8.072325,-34.884105
3,SAO JOSE,14,2013,-8.072325,-34.884105
3,SAO JOSE,14,2013,-8.072325,-34.884105
3,SAO JOSE,16,2013,-8.072325,-34.884105
3,SAO JOSE,18,2013,-8.072325,-34.884105
3,SAO JOSE,20,2013,-8.072325,-34.884105
3,SAO JOSE,23,2013,-8.072325,-34.884105
3,SAO JOSE,24,2013,-8.072325,-34.884105
3,SAO JOSE,25,2013,-8.072325,-34.884105
3,SAO JOSE,25,2013,-8.072325,-34.884105
3,SAO JOSE,26,2013,-8.072325,-34.884105
3,SAO JOSE,26,2013,-8.072325,-34.884105
3,SAO JOSE,28,2013,-8.072325,-34.884105
3,SAO JOSE,34,2013,-8.072325,-34.884105
3,SAO JOSE,44,2013,-8.072325,-34.884105
3,SAO JOSE,45,2013,-8.072325,-34.884105
4,ILHA JOANA BEZERRA,4,2013,-8.070706,-34.896815000000004
4,ILHA JOANA BEZERRA,11,2013,-8.070706,-34.896815000000004
4,ILHA JOANA BEZERRA,11,2013,-8.070706,-34.896815000000004
4,ILHA JOANA BEZERRA,15,2013,-8.070706,-34.896815000000004
4,ILHA JOANA BEZERRA,15,2013,-8.070706,-34.896815000000004
4,ILHA JOANA BEZERRA,18,2013,-8.070706,-34.896815000000004
4,ILHA JOANA BEZERRA,19,2013,-8.070706,-34.896815000000004
4,ILHA JOANA BEZERRA,21,2013,-8.070706,-34.896815000000004
4,ILHA JOANA BEZERRA,27,2013,-8.070706,-34.896815000000004
4,ILHA JOANA BEZERRA,27,2013,-8.070706,-34.896815000000004
4,ILHA JOANA BEZERRA,28,2013,-8.070706,-34.896815000000004
4,ILHA JOANA BEZERRA,43,2013,-8.070706,-34.896815000000004
4,ILHA JOANA BEZERRA,45,2013,-8.070706,-34.896815000000004
4,ILHA JOANA BEZERRA,48,2013,-8.070706,-34.896815000000004
4,ILHA JOANA BEZERRA,48,2013,-8.070706,-34.896815000000004
4,ILHA JOANA BEZERRA,49,2013,-8.070706,-34.896815000000004
5,CABANGA,33,2013,-8.079862,-34.89416
6,COELHOS,19,2013,-8.068184,-34.889312
6,COELHOS,20,2013,-8.068184,-34.889312
6,COELHOS,20,2013,-8.068184,-34.889312
6,COELHOS,20,2013,-8.068184,-34.889312
6,COELHOS,22,2013,-8.068184,-34.889312
6,COELHOS,24,2013,-8.068184,-34.889312
6,COELHOS,32,2013,-8.068184,-34.889312
6,COELHOS,46,2013,-8.068184,-34.889312
