Codigo,Bairro,Semana,Ano
1,RECIFE,52,2015
1,RECIFE,8,2015
1,RECIFE,9,2015
1,RECIFE,11,2015
1,RECIFE,15,2015
1,RECIFE,17,2015
1,RECIFE,21,2015
1,RECIFE,21,2015
1,RECIFE,23,2015
1,RECIFE,30,2015
1,RECIFE,28,2015
1,RECIFE,45,2015
1,RECIFE,50,2015
1,RECIFE,26,2015
1,RECIFE,11,2015
1,RECIFE,13,2015
1,RECIFE,14,2015
1,RECIFE,18,2015
1,RECIFE,44,2015
1,RECIFE,52,2015
1,RECIFE,11,2015
1,RECIFE,16,2015
1,RECIFE,21,2015
1,RECIFE,24,2015
1,RECIFE,28,2015
1,RECIFE,36,2015
1,RECIFE,41,2015
1,RECIFE,41,2015
1,RECIFE,53,2015
1,RECIFE,50,2015
1,RECIFE,3,2015
1,RECIFE,10,2015
1,RECIFE,10,2015
1,RECIFE,11,2015
1,RECIFE,12,2015
1,RECIFE,12,2015
1,RECIFE,11,2015
1,RECIFE,11,2015
1,RECIFE,12,2015
1,RECIFE,12,2015
1,RECIFE,11,2015
1,RECIFE,11,2015
1,RECIFE,12,2015
1,RECIFE,11,2015
1,RECIFE,12,2015
1,RECIFE,12,2015
1,RECIFE,12,2015
1,RECIFE,12,2015
1,RECIFE,12,2015
1,RECIFE,13,2015
1,RECIFE,13,2015
1,RECIFE,14,2015
1,RECIFE,14,2015
1,RECIFE,14,2015
1,RECIFE,15,2015
1,RECIFE,15,2015
1,RECIFE,15,2015
1,RECIFE,15,2015
1,RECIFE,15,2015
1,RECIFE,15,2015
1,RECIFE,15,2015
1,RECIFE,15,2015
1,RECIFE,16,2015
1,RECIFE,16,2015
1,RECIFE,16,2015
1,RECIFE,16,2015
1,RECIFE,17,2015
1,RECIFE,16,2015
1,RECIFE,18,2015
1,RECIFE,20,2015
1,RECIFE,20,2015
1,RECIFE,20,2015
1,RECIFE,45,2015
1,RECIFE,47,2015
1,RECIFE,48,2015
1,RECIFE,48,2015
1,RECIFE,49,2015
1,RECIFE,15,2015
1,RECIFE,44,2015
1,RECIFE,49,2015
1,RECIFE,51,2015
2,SANTO ANTONIO,13,2015
2,SANTO ANTONIO,11,2015
2,SANTO ANTONIO,36,2015
2,SANTO ANTONIO,47,2015
2,SANTO ANTONIO,51,2015
2,SANTO ANTONIO,11,2015
2,SANTO ANTONIO,47,2015
2,SANTO ANTONIO,19,2015
3,SAO JOSE,44,2015
3,SAO JOSE,48,2015
3,SAO JOSE,47,2015
3,SAO JOSE,50,2015
3,SAO JOSE,43,2015
3,SAO JOSE,43,2015
3,SAO JOSE,5,2015
3,SAO JOSE,6,2015
3,SAO JOSE,7,2015
3,SAO JOSE,7,2015
3,SAO JOSE,8,2015
3,SAO JOSE,9,2015
3,SAO JOSE,10,2015
3,SAO JOSE,10,2015
3,SAO JOSE,11,2015
3,SAO JOSE,11,2015
3,SAO JOSE,11,2015
3,SAO JOSE,11,2015
3,SAO JOSE,11,2015
3,SAO JOSE,13,2015
3,SAO JOSE,16,2015
3,SAO JOSE,19,2015
3,SAO JOSE,20,2015
3,SAO JOSE,21,2015
3,SAO JOSE,26,2015
3,SAO JOSE,29,2015
3,SAO JOSE,30,2015
3,SAO JOSE,37,2015
3,SAO JOSE,37,2015
3,SAO JOSE,37,2015
3,SAO JOSE,39,2015
3,SAO JOSE,39,2015
3,SAO JOSE,42,2015
3,SAO JOSE,44,2015
3,SAO JOSE,19,2015
3,SAO JOSE,23,2015
3,SAO JOSE,37,2015
3,SAO JOSE,37,2015
3,SAO JOSE,37,2015
3,SAO JOSE,37,2015
3,SAO JOSE,37,2015
3,SAO JOSE,40,2015
3,SAO JOSE,37,2015
3,SAO JOSE,11,2015
3,SAO JOSE,16,2015
3,SAO JOSE,18,2015
3,SAO JOSE,18,2015
3,SAO JOSE,30,2015
3,SAO JOSE,42,2015
3,SAO JOSE,43,2015
3,SAO JOSE,43,2015
3,SAO JOSE,44,2015
3,SAO JOSE,45,2015
3,SAO JOSE,15,2015
3,SAO JOSE,18,2015
3,SAO JOSE,25,2015
3,SAO JOSE,32,2015
3,SAO JOSE,35,2015
3,SAO JOSE,37,2015
3,SAO JOSE,36,2015
3,SAO JOSE,37,2015
3,SAO JOSE,39,2015
3,SAO JOSE,42,2015
3,SAO JOSE,44,2015
3,SAO JOSE,48,2015
3,SAO JOSE,50,2015
3,SAO JOSE,16,2015
3,SAO JOSE,38,2015
3,SAO JOSE,3,2015
3,SAO JOSE,4,2015
3,SAO JOSE,4,2015
3,SAO JOSE,5,2015
3,SAO JOSE,5,2015
3,SAO JOSE,5,2015
3,SAO JOSE,6,2015
3,SAO JOSE,7,2015
3,SAO JOSE,9,2015
3,SAO JOSE,9,2015
3,SAO JOSE,9,2015
3,SAO JOSE,10,2015
3,SAO JOSE,10,2015
3,SAO JOSE,9,2015
3,SAO JOSE,10,2015
3,SAO JOSE,9,2015
3,SAO JOSE,10,2015
3,SAO JOSE,11,2015
3,SAO JOSE,11,2015
3,SAO JOSE,12,2015
3,SAO JOSE,12,2015
3,SAO JOSE,12,2015
3,SAO JOSE,12,2015
3,SAO JOSE,11,2015
3,SAO JOSE,12,2015
3,SAO JOSE,12,2015
3,SAO JOSE,12,2015
3,SAO JOSE,12,2015
3,SAO JOSE,12,2015
3,SAO JOSE,13,2015
3,SAO JOSE,13,2015
3,SAO JOSE,13,2015
3,SAO JOSE,12,2015
3,SAO JOSE,13,2015
3,SAO JOSE,14,2015
3,SAO JOSE,15,2015
3,SAO JOSE,15,2015
3,SAO JOSE,15,2015
3,SAO JOSE,15,2015
3,SAO JOSE,16,2015
3,SAO JOSE,16,2015
3,SAO JOSE,16,2015
3,SAO JOSE,16,2015
3,SAO JOSE,17,2015
3,SAO JOSE,20,2015
3,SAO JOSE,20,2015
3,SAO JOSE,20,2015
3,SAO JOSE,21,2015
3,SAO JOSE,22,2015
3,SAO JOSE,33,2015
3,SAO JOSE,33,2015
3,SAO JOSE,34,2015
3,SAO JOSE,34,2015
3,SAO JOSE,35,2015
3,SAO JOSE,34,2015
3,SAO JOSE,35,2015
3,SAO JOSE,35,2015
3,SAO JOSE,35,2015
3,SAO JOSE,35,2015
3,SAO JOSE,36,2015
3,SAO JOSE,36,2015
3,SAO JOSE,36,2015
3,SAO JOSE,36,2015
3,SAO JOSE,36,2015
3,SAO JOSE,36,2015
3,SAO JOSE,36,2015
3,SAO JOSE,36,2015
3,SAO JOSE,36,2015
3,SAO JOSE,36,2015
3,SAO JOSE,36,2015
3,SAO JOSE,36,2015
3,SAO JOSE,37,2015
3,SAO JOSE,37,2015
3,SAO JOSE,37,2015
3,SAO JOSE,37,2015
3,SAO JOSE,37,2015
3,SAO JOSE,36,2015
3,SAO JOSE,36,2015
3,SAO JOSE,36,2015
3,SAO JOSE,36,2015
3,SAO JOSE,37,2015
3,SAO JOSE,39,2015
3,SAO JOSE,40,2015
3,SAO JOSE,40,2015
3,SAO JOSE,40,2015
3,SAO JOSE,40,2015
3,SAO JOSE,40,2015
3,SAO JOSE,42,2015
3,SAO JOSE,42,2015
3,SAO JOSE,42,2015
3,SAO JOSE,42,2015
3,SAO JOSE,43,2015
3,SAO JOSE,43,2015
