Nº Localidade;Nome Localidade;Nome Município;População;Nº casos em 2015;Nº casos em 2015/ população
1;RECIFE;RECIFE;602;81;0,134551495
2; SANTO ANTONIO;RECIFE;285;8;0,028070175
3; SAO JOSE;RECIFE;8.688;221;0,025437385
4; ILHA JOANA BEZERRA;RECIFE;12.629;460;0,036424103
5; CABANGA;RECIFE;1.551;31;0,019987105
6; COELHOS;RECIFE;7.633;281;0,036813835
7; ILHA DO LEITE;RECIFE;1.007;19;0,018867925
8; BOA VISTA;RECIFE;14.778;215;0,014548653
9; PAISSANDU;RECIFE;507;15;0,029585799
10; SANTO AMARO;RECIFE;27.939;769;0,027524249
11; SOLEDADE;RECIFE;2.495;21;0,008416834
12; ESPINHEIRO;RECIFE;10.438;120;0,011496455
13; AFLITOS;RECIFE;5.773;39;0,006755586
14; DERBY;RECIFE;2.071;35;0,016900048
15; JAQUEIRA;RECIFE;1.591;24;0,015084852
16; GRACAS;RECIFE;20.538;126;0,006134969
17; ENCRUZILHADA;RECIFE;11.940;222;0,018592965
18; ROSARINHO;RECIFE;4.077;97;0,023792004
19; TAMARINEIRA;RECIFE;14.124;234;0,016567545
20; BOA VIAGEM;RECIFE;122.922;1026;0,008346756
21; IPSEP;RECIFE;25.029;482;0,019257661
22; JORDAO;RECIFE;20.777;605;0,029118737
23; IBURA;RECIFE;50.617;1914;0,037813383
24; PINA;RECIFE;29.176;626;0,021455991
25; BRASILIA TEIMOSA;RECIFE;18.334;547;0,029835279
26; IMBIRIBEIRA;RECIFE;48.512;1106;0,022798483
27; TORREAO;RECIFE;1.083;30;0,027700831
28; CAMPO GRANDE;RECIFE;32.149;1069;0,033251423
29; PEIXINHOS;RECIFE;4.998;111;0,022208884
30; HIPODROMO;RECIFE;2.658;38;0,014296464
31; CAMPINA DO BARRETO;RECIFE;9.484;546;0,057570645
32; ARRUDA;RECIFE;14.530;475;0,032690984
33; AGUA FRIA;RECIFE;43.529;1039;0,023869145
34; FUNDAO;RECIFE;8.132;190;0,023364486
35; CAJUEIRO;RECIFE;6.584;218;0,033110571
36; PORTO DA MADEIRA;RECIFE;7.713;130;0,016854661
37; BEBERIBE;RECIFE;8.856;254;0,02868112
38; LINHA DO TIRO;RECIFE;14.867;321;0,021591444
39; DOIS UNIDOS;RECIFE;32.905;683;0,020756724
40; PASSARINHO;RECIFE;20.305;263;0,012952475
41; GUABIRABA;RECIFE;6.330;221;0,034913112
42; BOMBA DO HEMETERIO;RECIFE;8.472;294;0,03470255
43; CASA AMARELA;RECIFE;29.180;750;0,025702536
44; CASA FORTE;RECIFE;6.750;131;0,019407407
45; SANTANA;RECIFE;3.054;34;0,01113294
46; PARNAMIRIM;RECIFE;7.636;40;0,005238345
47; POCO;RECIFE;4.615;71;0,015384615
48; MONTEIRO;RECIFE;5.917;116;0,019604529
49; ALTO DO MANDU;RECIFE;4.655;176;0,037808808
50; APIPUCOS;RECIFE;3.342;62;0,018551765
51; MANGABEIRA;RECIFE;6.950;212;0,030503597
52; ALTO JOSE DO PINHO;RECIFE;12.334;418;0,03389006
53; MORRO DA CONCEICAO;RECIFE;10.182;325;0,031919073
54; ALTO JOSE BONIFACIO;RECIFE;12.462;278;0,022307816
55; VASCO DA GAMA;RECIFE;31.025;777;0,025044319
56; NOVA DESCOBERTA;RECIFE;34.212;852;0,024903543
57; BREJO DE BEBERIBE;RECIFE;8.292;86;0,010371442
58; MACAXEIRA;RECIFE;20.313;464;0,022842515
59; DOIS IRMAOS;RECIFE;2.566;225;0,087685113
60; SITIO DOS PINTOS;RECIFE;7.276;57;0,007833975
61; BREJO DA GUABIRABA;RECIFE;11.732;174;0,014831231
62; CORREGO DO JENIPAPO;RECIFE;9.246;310;0,033528012
63; PAU FERRO;RECIFE;72;1;0,013888889
64; MADALENA;RECIFE;22.082;694;0,031428313
65; TORRE;RECIFE;17.903;339;0,018935374
66; PRADO;RECIFE;11.694;305;0,026081751
67; ZUMBI;RECIFE;6.033;132;0,021879662
68; CORDEIRO;RECIFE;41.164;721;0,017515305
69; IPUTINGA;RECIFE;52.200;1085;0,020785441
70; TORROES;RECIFE;32.015;556;0,017366859
71; ENGENHO DO MEIO;RECIFE;10.211;183;0,017921849
72; CIDADE UNIVERSITARIA;RECIFE;818;37;0,045232274
73; VARZEA;RECIFE;70.453;1175;0,016677785
74; CAXANGA;RECIFE;9.634;181;0,018787627
75; CURADO;RECIFE;16.418;77;0,004689974
76; ILHA DO RETIRO;RECIFE;3.740;80;0,021390374
77; AFOGADOS;RECIFE;36.265;1211;0,033393079
78; MUSTARDINHA;RECIFE;12.429;289;0,023252072
79; MANGUEIRA;RECIFE;8.480;217;0,025589623
80; BONGI;RECIFE;8.097;109;0,013461776
81; SAN MARTIN;RECIFE;25.414;262;0,010309278
82; JIQUIA;RECIFE;10.245;154;0,015031723
83; ESTANCIA;RECIFE;9.240;377;0,040800866
84; CACOTE;RECIFE;10.470;83;0,007927412
85; AREIAS;RECIFE;29.894;772;0,02582458
86; JARDIM SAO PAULO;RECIFE;31.648;670;0,021170374
87; BARRO;RECIFE;31.847;371;0,011649449
88; COHAB;RECIFE;67.283;3084;0,045836244
89; TEJIPIO;RECIFE;8.918;109;0,012222471
90; SANCHO;RECIFE;11.199;74;0,006607733
91; TOTO;RECIFE;2.420;54;0,02231405
92; COQUEIRAL;RECIFE;10.794;102;0,009449694
93; PONTO DE PARADA;RECIFE;1.554;65;0,041827542
94; ALTO SANTA TEREZINHA;RECIFE;7.703;83;0,010775023
