,codigo,bairro,casos,ano,latitude,longitude
0,1,RECIFE,0.0,2014,-8.053206,-34.87075
1,2,SANTO ANTONIO,2.0,2014,-8.064813000000001,-34.880369
2,3,SAO JOSE,5.0,2014,-8.07165,-34.88413
3,4,ILHA JOANA BEZERRA,7.0,2014,-8.070504,-34.896815000000004
4,5,CABANGA,0.0,2014,-8.079618,-34.89416
5,6,COELHOS,6.0,2014,-8.067982,-34.889387
6,7,ILHA DO LEITE,0.0,2014,-8.065111,-34.894812
7,8,BOA VISTA,17.0,2014,-8.055406,-34.89516
8,9,PAISSANDU,1.0,2014,-8.06361,-34.898990000000005
9,10,SANTO AMARO,11.0,2014,-8.045555,-34.878511
10,11,SOLEDADE,1.0,2014,-8.056275,-34.890705
11,12,ESPINHEIRO,13.0,2014,-8.043146,-34.891331
12,13,AFLITOS,7.0,2014,-8.039793,-34.896185
13,14,DERBY,1.0,2014,-8.056205,-34.899669
14,15,JAQUEIRA,2.0,2014,-8.036313,-34.903717
15,16,GRACAS,9.0,2014,-8.045171,-34.902063
16,17,ENCRUZILHADA,21.0,2014,-8.037251,-34.891
17,18,ROSARINHO,8.0,2014,-8.033114999999999,-34.89751
18,19,TAMARINEIRA,8.0,2014,-8.029621,-34.90034
19,20,BOA VIAGEM,53.0,2014,-8.131781,-34.902269
20,21,IPSEP,21.0,2014,-8.107398,-34.923199
21,22,JORDAO,24.0,2014,-8.135926,-34.935478
22,23,IBURA,79.0,2014,-8.110188,-34.936605
23,24,PINA,16.0,2014,-8.094104,-34.885537
24,25,BRASILIA TEIMOSA,8.0,2014,-8.08347,-34.88036
25,26,IMBIRIBEIRA,32.0,2014,-8.103817,-34.91067
26,27,TORREAO,1.0,2014,-8.039849,-34.88381
27,28,CAMPO GRANDE,26.0,2014,-8.032156,-34.881355
28,29,PEIXINHOS,1.0,2014,-8.020226,-34.87741
29,30,HIPODROMO,1.0,2014,-8.032544999999999,-34.887917
30,31,CAMPINA DO BARRETO,23.0,2014,-8.016906,-34.882409
31,32,ARRUDA,17.0,2014,-8.025246000000001,-34.893499
32,33,AGUA FRIA,27.0,2014,-8.014927,-34.896827
33,34,FUNDAO,4.0,2014,-8.014994,-34.890137
34,35,CAJUEIRO,9.0,2014,-8.011376,-34.885870000000004
35,36,PORTO DA MADEIRA,2.0,2014,-8.008517,-34.891378
36,37,BEBERIBE,17.0,2014,-8.004758,-34.896214
37,38,LINHA DO TIRO,12.0,2014,-8.008627,-34.904617
38,39,DOIS UNIDOS,33.0,2014,-8.00173,-34.914193
39,40,PASSARINHO,7.0,2014,-7.979706,-34.918388
40,41,GUABIRABA,9.0,2014,-7.951867999999997,-34.95952800000001
41,42,BOMBA DO HEMETERIO,4.0,2014,-8.021554,-34.900849
42,43,CASA AMARELA,50.0,2014,-8.026561000000001,-34.917834
43,44,CASA FORTE,9.0,2014,-8.033565,-34.918972
44,45,SANTANA,4.0,2014,-8.040554,-34.915802
45,46,PARNAMIRIM,5.0,2014,-8.033436,-34.910388
