"Região/UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"Região Norte";24745;33478;27647;10210;5412;3123;1752;1634;1406;1337;1228;2247;114219
"Rondônia";694;560;671;455;171;44;32;59;77;72;30;87;2952
"Acre";8492;4713;2930;1254;341;127;56;54;38;60;52;716;18833
"Amazonas";10120;21999;18818;5225;2168;1137;567;503;336;326;337;711;62247
"Roraima";157;129;173;117;100;133;144;122;69;76;51;26;1297
"Pará";3740;4380;3307;1719;828;381;305;375;431;421;435;489;16811
"Amapá";604;710;530;313;168;116;41;69;73;64;10;67;2765
"Tocantins";938;987;1218;1127;1636;1185;607;452;382;318;313;151;9314
"Região Nordeste";13579;21846;35575;37871;27280;14931;8381;5554;3423;2727;1689;1990;174846
"Maranhão";1065;1562;1510;975;1135;1146;953;1000;378;189;117;217;10247
"Piauí";785;1076;1603;1879;1865;1256;676;427;178;6;5;74;9830
"Ceará";5578;8611;13807;16084;8912;3157;1276;803;587;525;492;803;60635
"Rio Grande do Norte";1084;2221;4359;4501;3609;2441;1203;655;309;290;88;94;20854
"Paraíba";771;1535;2736;2204;1604;1000;487;229;144;96;39;99;10944
"Pernambuco";777;1544;2771;2882;2677;1658;1077;717;610;642;483;232;16070
"Alagoas";535;909;1472;1198;1042;710;389;333;380;253;149;109;7479
"Sergipe";99;156;252;337;404;316;306;190;131;129;79;41;2440
"Bahia";2885;4232;7065;7811;6032;3247;2014;1200;706;597;237;321;36347
"Região Sudeste";15675;37385;65804;104374;73386;17886;5471;2765;2532;3338;2780;3429;334825
"Minas Gerais";3890;5372;6550;7887;6431;1496;510;303;268;348;428;670;34153
"Espírito Santo";2692;4280;5723;6957;7515;2988;1164;554;239;272;228;260;32872
"Rio de Janeiro";5270;15905;30546;50159;35262;9904;2955;1359;1341;1846;1816;2165;158528
"São Paulo";3823;11828;22985;39371;24178;3498;842;549;684;872;308;334;109272
"Região Sul";2570;6732;10651;6457;2237;207;45;37;45;75;74;234;29364
"Paraná";2533;6683;10546;6278;2179;199;37;32;40;69;70;228;28894
"Santa Catarina";21;21;21;34;20;4;5;1;2;5;3;2;139
"Rio Grande do Sul";16;28;84;145;38;4;3;4;3;1;1;4;331
"Região Centro-Oeste";6255;6292;6874;6166;4326;1581;830;641;656;965;662;775;36023
"Mato Grosso do Sul";983;1110;1431;1423;674;152;61;65;70;98;73;123;6263
"Mato Grosso";1240;790;730;418;279;231;197;175;139;281;321;207;5008
"Goiás";3796;4187;4440;4018;3065;1113;507;363;424;567;252;413;23145
"Distrito Federal";236;205;273;307;308;85;65;38;23;19;16;32;1607
"Total";62824;105733;146551;165078;112641;37728;16479;10631;8062;8442;6433;8675;689277
