,no_bairro_residencia,co_bairro_residencia,casos,co_uf_notificacao
0,RECIFE,1,71,2016
1,SANTO ANTONIO,2,11,2016
2,SAO JOSE,3,138,2016
3,ILHA JOANA BEZERRA,4,158,2016
4,CABANGA,5,27,2016
5,COELHOS,6,124,2016
6,ILHA DO LEITE,7,13,2016
7,BOA VISTA,8,155,2016
8,PAISSANDU,9,5,2016
9,SANTO AMARO,10,130,2016
10,SOLEDADE,11,11,2016
11,ESPINHEIRO,12,42,2016
12,AFLITOS,13,18,2016
13,DERBY,14,15,2016
14,JAQUEIRA,15,7,2016
15,GRACAS,16,73,2016
16,ENCRUZILHADA,17,58,2016
17,ROSARINHO,18,47,2016
18,TAMARINEIRA,19,70,2016
19,BOA VIAGEM,20,537,2016
20,IPSEP,21,263,2016
21,JORDAO,22,300,2016
22,IBURA,23,643,2016
23,PINA,24,206,2016
24,BRASILIA TEIMOSA,25,101,2016
25,IMBIRIBEIRA,26,597,2016
26,TORREAO,27,4,2016
27,CAMPO GRANDE,28,233,2016
28,PEIXINHOS,29,52,2016
29,HIPODROMO,30,9,2016
30,CAMPINA DO BARRETO,31,226,2016
31,ARRUDA,32,180,2016
32,AGUA FRIA,33,495,2016
33,FUNDAO,34,71,2016
34,CAJUEIRO,35,73,2016
35,PORTO DA MADEIRA,36,52,2016
36,BEBERIBE,37,90,2016
37,LINHA DO TIRO,38,187,2016
38,DOIS UNIDOS,39,297,2016
39,PASSARINHO,40,78,2016
40,GUABIRABA,41,89,2016
41,BOMBA DO HEMETERIO,42,222,2016
42,CASA AMARELA,43,485,2016
43,CASA FORTE,44,58,2016
44,SANTANA,45,6,2016
45,PARNAMIRIM,46,26,2016
46,POCO,47,38,2016
47,MONTEIRO,48,8,2016
48,MUSTARDINHA,49,101,2016
49,ALTO DO MANDU,50,33,2016
50,APIPUCOS,51,43,2016
51,MANGABEIRA,52,86,2016
52,ALTO JOSE DO PINHO,53,80,2016
53,MORRO DA CONCEICAO,54,62,2016
54,ALTO JOSE BONIFACIO,55,227,2016
55,VASCO DA GAMA,56,488,2016
56,NOVA DESCOBERTA,57,26,2016
57,BREJO DE BEBERIBE,58,292,2016
58,MACAXEIRA,59,94,2016
59,DOIS IRMAOS,60,61,2016
60,SITIO DOS PINTOS,61,68,2016
61,BREJO DA GUABIRABA,62,265,2016
62,PAU FERRO,63,0,2016
63,CORREGO DO JENIPAPO,64,246,2016
64,MADALENA,65,202,2016
65,TORRE,66,84,2016
66,PRADO,67,71,2016
67,ZUMBI,68,493,2016
68,CORDEIRO,69,965,2016
69,IPUTINGA,70,530,2016
70,TORROES,71,165,2016
71,ENGENHO DO MEIO,72,42,2016
72,CIDADE UNIVERSITARIA,73,1130,2016
73,VARZEA,74,181,2016
74,CAXANGA,75,93,2016
75,CURADO,76,55,2016
76,ILHA DO RETIRO,77,536,2016
77,AFOGADOS,78,149,2016
78,MANGUEIRA,79,126,2016
79,BONGI,80,184,2016
80,SAN MARTIN,81,317,2016
81,JIQUIA,82,92,2016
82,ESTANCIA,83,168,2016
83,CACOTE,84,42,2016
84,AREIAS,85,499,2016
85,JARDIM SAO PAULO,86,324,2016
86,BARRO,87,197,2016
87,COHAB,88,1245,2016
88,TEJIPIO,89,100,2016
89,SANCHO,90,58,2016
90,TOTO,91,66,2016
91,COQUEIRAL,92,116,2016
92,PONTO DE PARADA,93,33,2016
93,ALTO SANTA TEREZINHA,94,33,2016
