co_bairro_residencia;no_bairro_residencia;Nome Município;pop;casos;casos/pop;;
1;RECIFE;RECIFE;602;1;0,00166113;;
2; SANTO ANTONIO;RECIFE;285;4;0,014035088;;
3; SAO JOSE;RECIFE;8.688;18;0,002071823;;
4; ILHA JOANA BEZERRA;RECIFE;12.629;16;0,001266925;;
5; CABANGA;RECIFE;1.551;1;0,000644745;;
6; COELHOS;RECIFE;7.633;8;0,001048081;;
7; ILHA DO LEITE;RECIFE;1.007;4;0,003972195;;
8; BOA VISTA;RECIFE;14.778;38;0,00257139;;
9; PAISSANDU;RECIFE;507;0;0;;
10; SANTO AMARO;RECIFE;27.939;61;0,002183328;;
11; SOLEDADE;RECIFE;2.495;1;0,000400802;;
12; ESPINHEIRO;RECIFE;10.438;21;0,00201188;;
13; AFLITOS;RECIFE;5.773;15;0,002598302;;
14; DERBY;RECIFE;2.071;4;0,001931434;;
15; JAQUEIRA;RECIFE;1.591;5;0,003142678;;
16; GRACAS;RECIFE;20.538;32;0,001558087;;
17; ENCRUZILHADA;RECIFE;11.940;31;0,002596315;;
18; ROSARINHO;RECIFE;4.077;11;0,002698062;;
19; TAMARINEIRA;RECIFE;14.124;21;0,001486831;;
20; BOA VIAGEM;RECIFE;122.922;174;0,001415532;;
21; IPSEP;RECIFE;25.029;34;0,001358424;;
22; JORDAO;RECIFE;20.777;69;0,00332098;;
23; IBURA;RECIFE;50.617;223;0,004405634;;
24; PINA;RECIFE;29.176;34;0,001165341;;
25; BRASILIA TEIMOSA;RECIFE;18.334;36;0,001963565;;
26; IMBIRIBEIRA;RECIFE;48.512;101;0,002081959;;
27; TORREAO;RECIFE;1.083;3;0,002770083;;
28; CAMPO GRANDE;RECIFE;32.149;64;0,001990731;;
29; PEIXINHOS;RECIFE;4.998;10;0,0020008;;
30; HIPODROMO;RECIFE;2.658;5;0,001881114;;
31; CAMPINA DO BARRETO;RECIFE;9.484;41;0,00432307;;
32; ARRUDA;RECIFE;14.530;49;0,003372333;;
33; AGUA FRIA;RECIFE;43.529;86;0,001975694;;
34; FUNDAO;RECIFE;8.132;14;0,001721594;;
35; CAJUEIRO;RECIFE;6.584;16;0,002430134;;
36; PORTO DA MADEIRA;RECIFE;7.713;15;0,001944769;;
37; BEBERIBE;RECIFE;8.856;28;0,003161698;;
38; LINHA DO TIRO;RECIFE;14.867;30;0,002017892;;
39; DOIS UNIDOS;RECIFE;32.905;87;0,002643975;;
40; PASSARINHO;RECIFE;20.305;29;0,00142822;;
41; GUABIRABA;RECIFE;6.330;22;0,003475513;;
42; BOMBA DO HEMETERIO;RECIFE;8.472;21;0,002478754;;
43; CASA AMARELA;RECIFE;29.180;76;0,002604524;;
44; CASA FORTE;RECIFE;6.750;29;0,004296296;;
