co_bairro_residencia;no_bairro_residencia;Nome Município;pop;casos;casos/pop
1;RECIFE;RECIFE;602;71;0.117940199
2; SANTO ANTONIO;RECIFE;285;11;0.038596491
3; SAO JOSE;RECIFE;8.688;138;0.015883978
4; ILHA JOANA BEZERRA;RECIFE;12.629;158;0.012510888
5; CABANGA;RECIFE;1.551;27;0.017408124
6; COELHOS;RECIFE;7.633;124;0.016245251
7; ILHA DO LEITE;RECIFE;1.007;13;0.012909633
8; BOA VISTA;RECIFE;14.778;155;0.010488564
9; PAISSANDU;RECIFE;507;5;0.009861933
10; SANTO AMARO;RECIFE;27.939;130;0.004652994
11; SOLEDADE;RECIFE;2.495;11;0.004408818
12; ESPINHEIRO;RECIFE;10.438;42;0.004023759
13; AFLITOS;RECIFE;5.773;18;0.003117963
14; DERBY;RECIFE;2.071;15;0.007242878
15; JAQUEIRA;RECIFE;1.591;7;0.004399749
16; GRACAS;RECIFE;20.538;73;0.003554387
17; ENCRUZILHADA;RECIFE;11.940;58;0.004857621
18; ROSARINHO;RECIFE;4.077;47;0.011528084
19; TAMARINEIRA;RECIFE;14.124;70;0.004956103
20; BOA VIAGEM;RECIFE;122.922;537;0.004368624
21; IPSEP;RECIFE;25.029;263;0.010507811
22; JORDAO;RECIFE;20.777;300;0.014439043
23; IBURA;RECIFE;50.617;643;0.012703242
24; PINA;RECIFE;29.176;206;0.007060598
25; BRASILIA TEIMOSA;RECIFE;18.334;101;0.005508891
26; IMBIRIBEIRA;RECIFE;48.512;597;0.012306234
27; TORREAO;RECIFE;1.083;4;0.003693444
28; CAMPO GRANDE;RECIFE;32.149;233;0.007247504
29; PEIXINHOS;RECIFE;4.998;52;0.010404162
30; HIPODROMO;RECIFE;2.658;9;0.003386005
31; CAMPINA DO BARRETO;RECIFE;9.484;226;0.023829608
32; ARRUDA;RECIFE;14.530;180;0.012388162
33; AGUA FRIA;RECIFE;43.529;495;0.011371729
34; FUNDAO;RECIFE;8.132;71;0.008730939
35; CAJUEIRO;RECIFE;6.584;73;0.011087485
36; PORTO DA MADEIRA;RECIFE;7.713;52;0.006741864
37; BEBERIBE;RECIFE;8.856;90;0.010162602
38; LINHA DO TIRO;RECIFE;14.867;187;0.012578193
39; DOIS UNIDOS;RECIFE;32.905;297;0.009025984
40; PASSARINHO;RECIFE;20.305;78;0.003841418
41; GUABIRABA;RECIFE;6.330;89;0.014060032
42; BOMBA DO HEMETERIO;RECIFE;8.472;222;0.026203966
43; CASA AMARELA;RECIFE;29.180;485;0.016620973
44; CASA FORTE;RECIFE;6.750;58;0.008592593
45; SANTANA;RECIFE;3.054;6;0.001964637
46; PARNAMIRIM;RECIFE;7.636;26;0.003404924
47; POCO;RECIFE;4.615;38;0.00823402
48; MONTEIRO;RECIFE;5.917;8;0.001352037
49; ALTO DO MANDU;RECIFE;4.655;33;0.007089151
50; APIPUCOS;RECIFE;3.342;43;0.012866547
51; MANGABEIRA;RECIFE;6.950;86;0.012374101
52; ALTO JOSE DO PINHO;RECIFE;12.334;227;0.018404411
53; MORRO DA CONCEICAO;RECIFE;10.182;62;0.006089177
54; ALTO JOSE BONIFACIO;RECIFE;12.462;80;0.006419515
55; VASCO DA GAMA;RECIFE;31.025;488;0.015729251
56; NOVA DESCOBERTA;RECIFE;34.212;26;0.000759967
57; BREJO DE BEBERIBE;RECIFE;8.292;292;0.035214665
58; MACAXEIRA;RECIFE;20.313;94;0.004627578
59; DOIS IRMAOS;RECIFE;2.566;61;0.023772408
60; SITIO DOS PINTOS;RECIFE;7.276;68;0.009345794
61; BREJO DA GUABIRABA;RECIFE;11.732;265;0.022587794
62; CORREGO DO JENIPAPO;RECIFE;9.246;246;0.0266061
63; PAU FERRO;RECIFE;72;0;0
64; MADALENA;RECIFE;22.082;202;0.009147722
65; TORRE;RECIFE;17.903;84;0.004691951
66; PRADO;RECIFE;11.694;71;0.00607149
67; ZUMBI;RECIFE;6.033;493;0.081717222
68; CORDEIRO;RECIFE;41.164;965;0.023442814
69; IPUTINGA;RECIFE;52.200;530;0.010153257
70; TORROES;RECIFE;32.015;165;0.005153834
71; ENGENHO DO MEIO;RECIFE;10.211;42;0.004113211
72; CIDADE UNIVERSITARIA;RECIFE;818;1130;1.381418092
73; VARZEA;RECIFE;70.453;181;0.002569089
74; CAXANGA;RECIFE;9.634;93;0.009653311
75; CURADO;RECIFE;16.418;55;0.003349982
76; ILHA DO RETIRO;RECIFE;3.740;536;0.143315508
77; AFOGADOS;RECIFE;36.265;149;0.004108645
78; MUSTARDINHA;RECIFE;12.429;101;0.008126157
79; MANGUEIRA;RECIFE;8.480;126;0.014858491
80; BONGI;RECIFE;8.097;184;0.022724466
81; SAN MARTIN;RECIFE;25.414;317;0.01247344
82; JIQUIA;RECIFE;10.245;92;0.00897999
83; ESTANCIA;RECIFE;9.240;168;0.018181818
84; CACOTE;RECIFE;10.470;42;0.004011461
85; AREIAS;RECIFE;29.894;499;0.016692313
86; JARDIM SAO PAULO;RECIFE;31.648;324;0.010237614
87; BARRO;RECIFE;31.847;197;0.006185826
88; COHAB;RECIFE;67.283;1245;0.018503931
89; TEJIPIO;RECIFE;8.918;100;0.011213277
90; SANCHO;RECIFE;11.199;58;0.005179034
91; TOTO;RECIFE;2.420;66;0.027272727
92; COQUEIRAL;RECIFE;10.794;116;0.010746711
93; PONTO DE PARADA;RECIFE;1.554;33;0.021235521
94; ALTO SANTA TEREZINHA;RECIFE;7.703;33;0.004284045
