No_Bairro,Nome Localidade,Nome Municipio,latitude,longitude,numero de casos
1,RECIFE,RECIFE,-8.053206,-34.87075,81
2, SANTO ANTONIO,RECIFE,-8.064813000000001,-34.880369,8
3, SAO JOSE,RECIFE,-8.07165,-34.88413,221
4, ILHA JOANA BEZERRA,RECIFE,-8.070504,-34.896815000000004,460
5, CABANGA,RECIFE,-8.079618,-34.89416,31
6, COELHOS,RECIFE,-8.067982,-34.889387,281
7, ILHA DO LEITE,RECIFE,-8.065111,-34.894812,19
8, BOA VISTA,RECIFE,-8.055406,-34.89516,215
9, PAISSANDU,RECIFE,-8.06361,-34.898990000000005,15
10, SANTO AMARO,RECIFE,-8.045555,-34.878510999999996,769
11, SOLEDADE,RECIFE,-8.056275,-34.890705,21
12, ESPINHEIRO,RECIFE,-8.043146,-34.891331,120
13, AFLITOS,RECIFE,-8.039793,-34.896184999999996,39
14, DERBY,RECIFE,-8.056205,-34.899669,35
15, JAQUEIRA,RECIFE,-8.036313,-34.903717,24
16, GRACAS,RECIFE,-8.045171,-34.902063,126
17, ENCRUZILHADA,RECIFE,-8.037251,-34.891,222
18, ROSARINHO,RECIFE,-8.033114999999999,-34.89751,97
19, TAMARINEIRA,RECIFE,-8.029621,-34.90034,234
20, BOA VIAGEM,RECIFE,-8.131781,-34.902269,1026
21, IPSEP,RECIFE,-8.107398,-34.923199,482
22, JORDAO,RECIFE,-8.135926,-34.935478,605
23, IBURA,RECIFE,-8.110188,-34.936605,1914
24, PINA,RECIFE,-8.094104,-34.885537,626
25, BRASILIA TEIMOSA,RECIFE,-8.08347,-34.880359999999996,547
26, IMBIRIBEIRA,RECIFE,-8.103817,-34.91067,1106
27, TORREAO,RECIFE,-8.039849,-34.88381,30
28, CAMPO GRANDE,RECIFE,-8.032156,-34.881355,1069
29, PEIXINHOS,RECIFE,-8.020226,-34.87741,111
30, HIPODROMO,RECIFE,-8.032544999999999,-34.887917,38
31, CAMPINA DO BARRETO,RECIFE,-8.016906,-34.882409,546
32, ARRUDA,RECIFE,-8.025246000000001,-34.893499,475
33, AGUA FRIA,RECIFE,-8.014927,-34.896827,1039
34, FUNDAO,RECIFE,-8.014994,-34.890137,190
35, CAJUEIRO,RECIFE,-8.011376,-34.885870000000004,218
